Median Household Income-Number; NaturalBreaks
Data downloaded on 28-October-2025
County_FIPS,County,State,Obesity-2014-Percentage,Median Household Income-2022 & 2018-2022-Number
28117,Prentiss County,Mississippi,28.2,49217
13105,Elbert County,Georgia,27.1,49220
13155,Irwin County,Georgia,26,49224
28019,Choctaw County,Mississippi,24.6,49225
12133,Washington County,Florida,34.7,49233
46053,Gregory County,South Dakota,24.9,49239
40049,Garvin County,Oklahoma,29.5,49245
01029,Cleburne County,Alabama,25,49248
05103,Ouachita County,Arkansas,29.3,49275
05089,Marion County,Arkansas,25.7,49313
51141,Patrick County,Virginia,28.3,49319
20133,Neosho County,Kansas,29.9,49322
51183,Sussex County,Virginia,27.1,49340
28087,Lowndes County,Mississippi,30.2,49344
28075,Lauderdale County,Mississippi,30.1,49351
54083,Randolph County,West Virginia,29.7,49362
51089,Henry County,Virginia,30.8,49370
26095,Luce County,Michigan,27.5,49371
41045,Malheur County,Oregon,27.2,49380
05133,Sevier County,Arkansas,31,49384
29057,Dade County,Missouri,25.2,49386
28015,Carroll County,Mississippi,27.4,49397
40021,Cherokee County,Oklahoma,31.1,49403
47185,White County,Tennessee,26.8,49411
13033,Burke County,Georgia,27.7,49431
01111,Randolph County,Alabama,26.7,49433
20019,Chautauqua County,Kansas,28.3,49457
48385,Real County,Texas,29.4,49467
13031,Bulloch County,Georgia,29.3,49471
20207,Woodson County,Kansas,28.5,49477
01037,Coosa County,Alabama,29.3,49485
06105,Trinity County,California,24.7,49485
29197,Schuyler County,Missouri,23,49508
12077,Liberty County,Florida,35.4,49514
37171,Surry County,North Carolina,29.3,49524
37005,Alleghany County,North Carolina,24.5,49524
29171,Putnam County,Missouri,26.3,49532
51167,Russell County,Virginia,26.3,49537
48197,Hardeman County,Texas,27.2,49539
29103,Knox County,Missouri,25.3,49552
48189,Hale County,Texas,27.8,49571
48061,Cameron County,Texas,36.7,49583
48405,San Augustine County,Texas,27.9,49591
01027,Clay County,Alabama,30.1,49599
01059,Franklin County,Alabama,28.8,49611
28003,Alcorn County,Mississippi,30.5,49627
48455,Trinity County,Texas,26.3,49629
05035,Crittenden County,Arkansas,33,49644
13319,Wilkinson County,Georgia,27.9,49648
51143,Pittsylvania County,Virginia,29.9,49659
47109,Mcnairy County,Tennessee,30,49706
29129,Mercer County,Missouri,25,49715
41069,Wheeler County,Oregon,25.2,49716
48225,Houston County,Texas,26,49741
08025,Crowley County,Colorado,24.3,49785
21137,Lincoln County,Kentucky,25.7,49814
47183,Weakley County,Tennessee,26.8,49815
29059,Dallas County,Missouri,27.1,49830
